player_id,player_name,season,position,primary_league_id,primary_league_name,latest_team_id,latest_team_name,minutes,appearances,provider_rating_avg,pass_accuracy_pct,goals,assists,shots_total,shots_on_target,passes_total,key_passes,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_successful,dribbled_past,fouls_drawn,fouls_committed,offsides,yellow_cards,red_cards,goals_per90,assists_per90,shots_total_per90,shots_on_target_per90,passes_total_per90,key_passes_per90,tackles_per90,blocks_per90,interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempted_per90,dribbles_successful_per90,dribbled_past_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,yellow_cards_per90,red_cards_per90,shot_accuracy_pct,duel_win_pct,dribble_success_pct,orientation_cluster,orientation_distance,archetype_cluster
20,Axel Witsel,2025,M,140,La Liga,547,Girona,2533.0,32,6.930201342281878,91.13837764144512,1.0,2.0,16.0,5.0,1467.0,17.0,36.0,11.0,30.0,242.0,129.0,14.0,10.0,30.0,37.0,34.0,1.0,3,1,0.0355309909198578,0.0710619818397157,0.568495854717726,0.1776549545992893,52.12396367943151,0.6040268456375839,1.2791156731148836,0.3908409001184366,1.0659297275957362,8.598499802605605,4.583497828661666,0.4974338728780102,0.3553099091985787,1.0659297275957362,1.3146466640347414,1.2080536912751678,0.0355309909198578,0.1065929727595736,0.0355309909198578,31.25,53.30578512396694,71.42857142857143,1,1.543879948653159,1
26,Marius Wolf,2025,M,78,Bundesliga,170,FC Augsburg,1040.0,29,6.8602502406159775,67.28971962616822,1.0,1.0,12.0,5.0,328.0,21.0,19.0,0.0,11.0,75.0,35.0,16.0,7.0,7.0,2.0,10.0,11.0,4,0,0.0865384615384615,0.0865384615384615,1.0384615384615383,0.4326923076923077,28.384615384615383,1.8173076923076923,1.6442307692307694,0.0,0.951923076923077,6.490384615384615,3.0288461538461537,1.3846153846153846,0.6057692307692308,0.6057692307692308,0.173076923076923,0.8653846153846154,0.951923076923077,0.3461538461538461,0.0,41.66666666666667,46.66666666666666,43.75,1,2.435922411481449,2
44,Rodri,2025,M,39,Premier League,50,Manchester City,1513.0,21,7.5531084656084655,90.08674101610904,1.0,0.0,10.0,3.0,1614.0,26.0,42.0,3.0,14.0,178.0,119.0,15.0,7.0,15.0,31.0,14.0,0.0,3,0,0.0594844679444811,0.0,0.5948446794448117,0.1784534038334435,96.0079312623926,1.5465961665565104,2.4983476536682088,0.1784534038334435,0.8327825512227364,10.588235294117649,7.078651685393258,0.8922670191672174,0.4163912756113682,0.8922670191672174,1.844018506278916,0.8327825512227364,0.0,0.1784534038334435,0.0,30.0,66.85393258426966,46.66666666666666,1,4.093925246744571,1
49,Thomas Partey,2025,M,140,La Liga,533,Villarreal,930.0,25,6.654094827586207,86.47166361974405,0.0,0.0,8.0,2.0,547.0,8.0,18.0,4.0,14.0,89.0,46.0,10.0,8.0,9.0,6.0,11.0,0.0,1,0,0.0,0.0,0.7741935483870968,0.1935483870967742,52.93548387096774,0.7741935483870968,1.7419354838709675,0.3870967741935484,1.3548387096774197,8.612903225806452,4.451612903225806,0.967741935483871,0.7741935483870968,0.8709677419354839,0.5806451612903226,1.064516129032258,0.0,0.0967741935483871,0.0,25.0,51.68539325842697,80.0,1,1.4460014875050988,1
50,Koke,2025,M,140,La Liga,530,Atletico Madrid,2236.0,34,7.213237924865832,91.9287211740042,2.0,2.0,9.0,4.0,1908.0,35.0,50.0,7.0,18.0,179.0,88.0,9.0,3.0,30.0,22.0,21.0,0.0,6,0,0.0805008944543828,0.0805008944543828,0.3622540250447227,0.1610017889087656,76.79785330948123,1.4087656529516994,2.012522361359571,0.2817531305903399,0.7245080500894455,7.204830053667263,3.5420393559928445,0.3622540250447227,0.1207513416815742,1.2075134168157424,0.8855098389982111,0.8452593917710197,0.0,0.2415026833631484,0.0,44.44444444444444,49.162011173184354,33.33333333333333,1,2.6358117911250463,0
74,Sofyan Amrabat,2025,M,140,La Liga,543,Real Betis,1296.0,17,7.024305555555555,91.0813823857302,0.0,0.0,5.0,1.0,897.0,7.0,25.0,4.0,11.0,102.0,54.0,8.0,6.0,15.0,19.0,22.0,0.0,4,0,0.0,0.0,0.3472222222222222,0.0694444444444444,62.29166666666667,0.4861111111111111,1.736111111111111,0.2777777777777778,0.7638888888888888,7.083333333333334,3.75,0.5555555555555556,0.4166666666666666,1.0416666666666663,1.3194444444444444,1.5277777777777777,0.0,0.2777777777777778,0.0,20.0,52.94117647058824,75.0,1,1.9764454979667392,1
81,Krépin Diatta,2025,M,61,Ligue 1,91,Monaco,1026.0,18,6.997368421052633,78.38427947598254,0.0,1.0,5.0,1.0,458.0,13.0,31.0,3.0,16.0,107.0,73.0,9.0,6.0,10.0,10.0,8.0,4.0,2,0,0.0,0.087719298245614,0.4385964912280701,0.087719298245614,40.175438596491226,1.1403508771929824,2.719298245614035,0.2631578947368421,1.4035087719298245,9.385964912280702,6.4035087719298245,0.7894736842105263,0.5263157894736842,0.8771929824561403,0.8771929824561403,0.7017543859649122,0.3508771929824561,0.175438596491228,0.0,20.0,68.22429906542055,66.66666666666666,1,1.7351989138520445,1
102,Djibril Sidibé,2025,M,61,Ligue 1,96,Toulouse,2158.0,32,6.79416126042632,79.93348115299335,3.0,4.0,7.0,5.0,903.0,15.0,48.0,4.0,17.0,167.0,91.0,19.0,9.0,10.0,14.0,30.0,5.0,1,0,0.1251158480074142,0.1668211306765523,0.2919369786839666,0.2085264133456904,37.6598702502317,0.6255792400370713,2.001853568118628,0.1668211306765523,0.7089898053753475,6.9647822057460615,3.795180722891566,0.7924003707136237,0.3753475440222428,0.4170528266913809,0.5838739573679332,1.2511584800741429,0.2085264133456904,0.041705282669138,0.0,71.42857142857143,54.49101796407185,47.368421052631575,1,1.576333459907253,2
109,Aleksandr Golovin,2025,M,61,Ligue 1,91,Monaco,1661.0,25,6.832630945213727,82.56130790190736,5.0,5.0,25.0,18.0,734.0,24.0,26.0,5.0,24.0,156.0,68.0,31.0,19.0,18.0,18.0,30.0,2.0,4,1,0.2709211318482841,0.2709211318482841,1.3546056592414208,0.975316074653823,39.77122215532812,1.300421432871764,1.408789885611078,0.2709211318482841,1.300421432871764,8.452739313666466,3.684527393136665,1.6797110174593617,1.02950030102348,0.975316074653823,0.975316074653823,1.625526791089705,0.1083684527393136,0.2167369054786273,0.0541842263696568,72.0,43.58974358974359,61.29032258064516,1,1.860650911780344,0
110,Han-Noah Massengo,2025,M,78,Bundesliga,170,FC Augsburg,2435.0,33,6.882505133470226,85.84229390681004,2.0,1.0,15.0,6.0,1116.0,17.0,41.0,9.0,38.0,201.0,107.0,40.0,26.0,10.0,23.0,25.0,0.0,5,0,0.0739219712525667,0.0369609856262833,0.5544147843942505,0.2217659137577002,41.24845995893224,0.6283367556468172,1.5154004106776182,0.3326488706365503,1.404517453798768,7.429158110882956,3.95482546201232,1.4784394250513349,0.9609856262833676,0.3696098562628337,0.8501026694045175,0.924024640657084,0.0,0.1848049281314168,0.0,40.0,53.233830845771145,65.0,1,1.5984522267379748,1
116,Khéphren Thuram,2025,M,135,Serie A,496,Juventus,2453.0,35,7.054463921728496,86.79495686794957,3.0,3.0,36.0,15.0,1507.0,24.0,60.0,9.0,12.0,245.0,132.0,37.0,23.0,14.0,12.0,38.0,3.0,2,0,0.110069302894415,0.110069302894415,1.32083163473298,0.550346514472075,55.2914798206278,0.88055442315532,2.2013860578883,0.330207908683245,0.44027721157766,8.988993069710558,4.843049327354261,1.3575214023644515,0.8438646555238484,0.5136567468406034,0.44027721157766,1.3942111699959234,0.110069302894415,0.0733795352629433,0.0,41.66666666666667,53.87755102040816,62.16216216216216,1,2.1507386213144386,0
174,Christian Eriksen,2025,M,78,Bundesliga,161,VfL Wolfsburg,2629.0,33,7.010840623811335,78.28481510621558,3.0,9.0,31.0,16.0,1271.0,66.0,43.0,11.0,19.0,166.0,71.0,21.0,10.0,28.0,6.0,13.0,3.0,4,0,0.102700646633701,0.3081019399011031,1.0612400152149106,0.5477367820464055,43.51084062381133,2.2594142259414225,1.4720426017497146,0.3765690376569037,0.6504374286801066,5.682769113731457,2.430581970330924,0.7189045264359072,0.3423354887790034,0.9585393685812096,0.205401293267402,0.4450361354127045,0.102700646633701,0.1369341955116013,0.0,51.61290322580645,42.77108433734939,47.61904761904761,1,2.9234551942882328,0
203,Roberto Gagliardini,2025,M,135,Serie A,504,Hellas Verona,2216.0,29,6.991425992779783,81.11587982832617,1.0,0.0,9.0,3.0,1165.0,16.0,73.0,13.0,54.0,285.0,169.0,10.0,6.0,23.0,35.0,45.0,0.0,10,0,0.0406137184115523,0.0,0.3655234657039711,0.121841155234657,47.314981949458485,0.6498194945848376,2.9648014440433217,0.5279783393501805,2.193140794223827,11.574909747292418,6.863718411552346,0.4061371841155234,0.243682310469314,0.934115523465704,1.421480144404332,1.827617328519856,0.0,0.4061371841155234,0.0,33.33333333333333,59.29824561403508,60.0,1,3.780609952122445,1
226,Denzel Dumfries,2025,M,135,Serie A,505,Inter,1327.0,20,6.616578749058025,80.10610079575596,3.0,1.0,16.0,5.0,377.0,13.0,15.0,0.0,7.0,130.0,63.0,19.0,6.0,10.0,13.0,20.0,2.0,2,0,0.2034664657121326,0.0678221552373775,1.0851544837980407,0.3391107761868877,25.568952524491333,0.881688018085908,1.0173323285606632,0.0,0.4747550866616428,8.81688018085908,4.2727957799547855,1.2886209495101737,0.4069329314242653,0.6782215523737755,0.881688018085908,1.356443104747551,0.1356443104747551,0.1356443104747551,0.0,31.25,48.46153846153846,31.57894736842105,1,2.401532135670465,2
