player_id,player_name,position,orientation,archetype_key,archetype_name,minutes,latest_team_name,primary_league_name,raw_quality_rating,minutes_reliability,futbud_rating,role_rating_percentile,quality_status,quality_metric_count,pass_accuracy_pct_quality,duel_win_pct_quality,blocks_per90_quality,interceptions_per90_quality,tackles_per90_quality,dribbled_past_per90_quality,dribble_success_pct_quality,key_passes_per90_quality,assists_per90_quality,goals_per90_quality,shot_accuracy_pct_quality,fouls_drawn_per90_quality,shots_total_per90_quality
5,Manuel Akanji,D,,positional_cb,Positional Center Back,2820.0,Inter,Serie A,55.4,100.0,55.4,67.1,Good,6,84.50704225352112,35.68075117370892,10.328638497652582,68.54460093896714,76.99530516431925,50.70422535211267,,,,,,,
6,Leonardo Balerdi,D,,stopper_cb,Stopper Center Back,1998.0,Marseille,Ligue 1,47.8,94.8,47.9,45.0,Average,6,96.92307692307692,47.69230769230769,30.76923076923077,36.15384615384615,70.0,3.07692307692308,,,,,,,
9,Achraf Hakimi,D,,creative_fullback,Creative Fullback,1374.0,Paris Saint Germain,Ligue 1,58.4,90.2,57.6,72.3,Very Good,6,94.91525423728814,0.847457627118644,,37.28813559322034,,,8.47457627118644,89.83050847457628,73.72881355932203,,,,
17,Christian Pulišić,F,wide,linking_winger,Linking Forward,1612.0,AC Milan,Serie A,81.1,91.9,78.6,96.0,Elite,5,91.83673469387756,,,,,,,75.51020408163265,79.59183673469387,79.59183673469387,85.71428571428571,,
20,Axel Witsel,M,central,defensive_midfielder,Defensive Midfielder (DM / 6),2533.0,Girona,La Liga,47.3,98.8,47.3,47.2,Average,5,95.38461538461539,45.12820512820513,,45.12820512820513,4.102564102564102,,92.56410256410257,,,,,,
22,Jacob Bruun Larsen,F,wide,linking_winger,Linking Forward,1038.0,Burnley,Premier League,11.6,87.7,16.3,2.0,Poor,5,44.89795918367347,,,,,,,0.0,16.3265306122449,1.0204081632653061,4.081632653061225,,
23,Sergio Gómez,D,,high_intensity_fullback,High-Intensity Fullback,2705.0,Real Sociedad,La Liga,75.5,100.0,75.5,100.0,Elite,6,,60.56338028169014,,53.52112676056338,83.09859154929578,,63.38028169014085,91.54929577464789,92.95774647887323,,,,
26,Marius Wolf,M,central,box_to_box_midfielder,Box-to-Box Midfielder (CM / 8),1040.0,FC Augsburg,Bundesliga,49.4,87.7,49.5,53.4,Average,7,0.7575757575757576,56.060606060606055,,73.48484848484848,41.66666666666667,,62.878787878787875,,61.36363636363637,53.78787878787878,,,
31,José María Giménez,D,,stopper_cb,Stopper Center Back,1177.0,Atletico Madrid,La Liga,41.8,88.7,42.7,30.2,Below Average,6,86.92307692307692,9.230769230769232,83.84615384615385,36.92307692307693,43.84615384615385,20.769230769230774,,,,,,,
33,Lucas Hernández,D,,positional_cb,Positional Center Back,1751.0,Paris Saint Germain,Ligue 1,44.4,93.0,44.8,32.7,Below Average,6,81.2206572769953,33.33333333333333,6.103286384976526,44.13145539906103,51.173708920187785,31.92488262910797,,,,,,,
44,Rodri,M,central,defensive_midfielder,Defensive Midfielder (DM / 6),1513.0,Manchester City,Premier League,67.7,91.2,66.1,85.2,Excellent,5,91.28205128205128,98.97435897435898,,22.564102564102566,71.28205128205128,,23.846153846153847,,,,,,
45,Thomas Lemar,M,wide,six_eight_hybrid,6/8 Hybrid,1273.0,Girona,La Liga,54.5,89.4,54.1,55.6,Good,6,96.55172413793103,37.06896551724138,,13.793103448275861,62.93103448275862,,96.98275862068965,,,,,27.586206896551722,
49,Thomas Partey,M,central,defensive_midfielder,Defensive Midfielder (DM / 6),930.0,Villarreal,La Liga,48.3,86.9,48.5,54.1,Average,5,57.43589743589743,32.82051282051282,,72.3076923076923,22.564102564102566,,96.92307692307692,,,,,,
