player_id,player_name,season,position,primary_league_id,primary_league_name,latest_team_id,latest_team_name,minutes,appearances,provider_rating_avg,pass_accuracy_pct,goals,assists,shots_total,shots_on_target,passes_total,key_passes,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_successful,dribbled_past,fouls_drawn,fouls_committed,offsides,yellow_cards,red_cards,goals_per90,assists_per90,shots_total_per90,shots_on_target_per90,passes_total_per90,key_passes_per90,tackles_per90,blocks_per90,interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempted_per90,dribbles_successful_per90,dribbled_past_per90,fouls_drawn_per90,fouls_committed_per90,offsides_per90,yellow_cards_per90,red_cards_per90,shot_accuracy_pct,duel_win_pct,dribble_success_pct,cluster,archetype_cluster
17,Christian Pulišić,2025,F,135,Serie A,489,AC Milan,1612.0,30,6.983622828784119,85.92814371257485,8.0,4.0,41.0,25.0,668.0,38.0,15.0,1.0,3.0,166.0,78.0,64.0,30.0,7.0,23.0,11.0,3.0,0,0,0.4466501240694789,0.2233250620347394,2.2890818858560795,1.3957816377171215,37.29528535980149,2.1215880893300247,0.8374689826302729,0.0558312655086848,0.1674937965260546,9.267990074441688,4.354838709677419,3.5732009925558312,1.6749379652605458,0.390818858560794,1.2841191066997515,0.6141439205955335,0.1674937965260546,0.0,0.0,60.97560975609756,46.98795180722892,46.875,0,1
22,Jacob Bruun Larsen,2025,F,39,Premier League,44,Burnley,1038.0,28,6.575529865125239,81.5068493150685,0.0,1.0,10.0,4.0,292.0,12.0,12.0,1.0,6.0,92.0,33.0,35.0,10.0,5.0,0.0,1.0,4.0,0,0,0.0,0.0867052023121387,0.8670520231213872,0.3468208092485549,25.31791907514451,1.0404624277456649,1.0404624277456649,0.0867052023121387,0.5202312138728323,7.976878612716763,2.8612716763005777,3.034682080924856,0.8670520231213872,0.4335260115606936,0.0,0.0867052023121387,0.3468208092485549,0.0,0.0,40.0,35.869565217391305,28.57142857142857,0,1
56,Antoine Griezmann,2025,F,140,La Liga,530,Atletico Madrid,1476.0,34,6.921476964769648,82.57887517146777,7.0,4.0,45.0,25.0,729.0,32.0,14.0,2.0,8.0,105.0,44.0,26.0,9.0,11.0,10.0,4.0,15.0,1,0,0.4268292682926829,0.2439024390243902,2.74390243902439,1.5243902439024388,44.45121951219512,1.951219512195122,0.8536585365853658,0.1219512195121951,0.4878048780487805,6.402439024390244,2.6829268292682924,1.5853658536585364,0.5487804878048781,0.6707317073170731,0.6097560975609756,0.2439024390243902,0.9146341463414632,0.0609756097560975,0.0,55.55555555555556,41.90476190476191,34.61538461538461,0,1
153,Ousmane Dembélé,2025,F,61,Ligue 1,85,Paris Saint Germain,1062.0,22,7.764406779661016,83.08724832214766,10.0,7.0,38.0,18.0,745.0,41.0,6.0,0.0,0.0,73.0,36.0,39.0,24.0,3.0,4.0,3.0,8.0,0,0,0.847457627118644,0.5932203389830508,3.220338983050848,1.5254237288135593,63.13559322033898,3.4745762711864407,0.5084745762711864,0.0,0.0,6.186440677966101,3.0508474576271185,3.305084745762712,2.0338983050847457,0.2542372881355932,0.3389830508474576,0.2542372881355932,0.6779661016949152,0.0,0.0,47.368421052631575,49.31506849315068,61.53846153846154,0,1
215,Sebastiano Esposito,2025,F,135,Serie A,490,Cagliari,2699.0,36,7.032641719155242,75.57328015952145,7.0,5.0,42.0,16.0,1003.0,71.0,56.0,4.0,20.0,312.0,149.0,41.0,17.0,41.0,56.0,45.0,5.0,6,0,0.2334197851055947,0.1667284179325676,1.400518710633568,0.5335309373842164,33.44572063727306,2.36754353464246,1.8673582808447573,0.1333827343460541,0.6669136717302705,10.40385327899222,4.968506854390515,1.3671730270470546,0.5668766209707299,1.3671730270470546,1.8673582808447573,1.5005557613931086,0.1667284179325676,0.2000741015190811,0.0,38.095238095238095,47.756410256410255,41.46341463414634,0,1
278,Kylian Mbappé,2025,F,140,La Liga,541,Real Madrid,2604.0,31,7.55384024577573,86.47294589178357,25.0,5.0,110.0,63.0,998.0,65.0,4.0,0.0,2.0,257.0,125.0,148.0,78.0,8.0,36.0,13.0,39.0,4,0,0.8640552995391706,0.1728110599078341,3.801843317972352,2.177419354838709,34.49308755760369,2.2465437788018434,0.1382488479262673,0.0,0.0691244239631336,8.882488479262673,4.320276497695852,5.11520737327189,2.695852534562212,0.2764976958525346,1.2442396313364057,0.4493087557603686,1.347926267281106,0.1382488479262673,0.0,57.27272727272727,48.63813229571984,52.702702702702695,0,1
483,Khvicha Kvaratskhelia,2025,F,61,Ligue 1,85,Paris Saint Germain,1483.0,28,7.361294672960216,87.89237668161435,8.0,4.0,48.0,29.0,892.0,34.0,24.0,3.0,11.0,201.0,101.0,76.0,44.0,12.0,26.0,18.0,5.0,1,0,0.4855023600809171,0.2427511800404585,2.9130141604855027,1.7599460552933244,54.13351314902226,2.0633850303438974,1.456507080242751,0.1820633850303439,0.6675657451112609,12.19824679703304,6.129467296021577,4.612272420768712,2.6702629804450435,0.7282535401213757,1.5778826702629802,1.0923803101820633,0.3034389750505731,0.0606877950101146,0.0,60.41666666666666,50.24875621890548,57.89473684210527,0,0
552,David Neres,2025,F,135,Serie A,492,Napoli,925.0,16,7.176648648648648,81.57099697885197,3.0,3.0,10.0,4.0,331.0,21.0,10.0,3.0,1.0,114.0,40.0,50.0,19.0,2.0,7.0,19.0,0.0,3,0,0.2918918918918918,0.2918918918918918,0.972972972972973,0.3891891891891892,32.20540540540541,2.0432432432432432,0.972972972972973,0.2918918918918918,0.0972972972972973,11.091891891891892,3.891891891891892,4.864864864864865,1.8486486486486484,0.1945945945945946,0.6810810810810811,1.8486486486486484,0.0,0.2918918918918918,0.0,40.0,35.08771929824561,38.0,0,0
697,Manor Solomon,2025,F,135,Serie A,502,Fiorentina,1056.0,22,7.173579545454545,89.25619834710744,3.0,2.0,7.0,5.0,364.0,27.0,14.0,1.0,1.0,111.0,64.0,47.0,31.0,7.0,18.0,2.0,2.0,1,0,0.2556818181818182,0.1704545454545454,0.5965909090909091,0.4261363636363636,31.02272727272728,2.301136363636364,1.193181818181818,0.0852272727272727,0.0852272727272727,9.460227272727272,5.454545454545455,4.005681818181818,2.6420454545454546,0.5965909090909091,1.534090909090909,0.1704545454545454,0.1704545454545454,0.0852272727272727,0.0,71.42857142857143,57.65765765765766,65.95744680851064,0,0
762,Vinicius Júnior,2025,F,140,La Liga,541,Real Madrid,2825.0,36,7.558938053097346,83.17094774136405,16.0,5.0,75.0,46.0,1129.0,70.0,29.0,0.0,2.0,403.0,197.0,195.0,87.0,13.0,81.0,38.0,13.0,8,0,0.5097345132743363,0.1592920353982301,2.3893805309734515,1.4654867256637167,35.968141592920354,2.230088495575221,0.9238938053097344,0.0,0.063716814159292,12.838938053097346,6.276106194690266,6.212389380530974,2.771681415929204,0.4141592920353982,2.5805309734513275,1.2106194690265486,0.4141592920353982,0.2548672566371681,0.0,61.33333333333333,48.883374689826304,44.61538461538462,0,0
